,Stn_Code,Stn_Name,Coords,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0,  SBK01 , Sungai Buloh," 3.20611, 101.58028 ",4,7,0,28,4,19,36,9,21,10
1,  SBK04 , Kwasa Damansara," 3.176472, 101.572556",11,15,0,38,4,6,56,12,22,5
2,  SBK05A , Teknologi," 3.1611833, 101.568194",4,9,1,78,6,15,74,4,91,3
3,  SBK07 , Surian," 3.1496278, 101.5935917",22,28,2,159,55,74,96,32,83,29
4,  SBK09 , Bandar Utama," 3.1466444, 101.6187472",39,27,1,140,30,75,109,13,188,27
5,  SBK12 , Phileo Damansara," 3.1292861, 101.6428917",4,39,1,77,14,27,65,16,40,13
6,  SBK13 , Pavilion Damansara Heights–Pusat Bandar Damansara," 3.1434111, 101.6622417",7,49,0,81,28,42,88,37,103,12
7,  SBK15 , Muzium Negara," 3.1373167, 101.6873361",27,74,3,103,23,67,144,18,104,105
8,  SBK17  , Merdeka," 3.1419694, 101.7020500",48,75,3,155,73,54,170,44,110,124
9,  SBK20 , Tun Razak Exchange," 3.1424028, 101.7201556",24,34,0,139,52,48,115,16,101,56
10,  SBK22 , AEON–Maluri," 3.1232611, 101.7269611",19,27,0,112,19,36,76,30,111,27
11,  SBK24 , Taman Midah,"3.104665,101.731852",6,51,0,85,9,25,73,16,59,9
12,  SBK26 , Taman Connaught,"3.077590,101.745905",4,13,0,79,6,16,48,15,50,4
13,  SBK28 , Sri Raya,"3.062527,101.772835",6,11,0,40,4,6,52,12,22,2
14,  SBK30 , Batu 11 Cheras,"3.043231,101.773114",5,6,0,49,9,18,38,7,33,9
15,  SBK33 , Sungai Jernih," 3.000750, 101.7840806",3,8,0,56,7,14,65,0,47,11
16,  SBK35 , Kajang," 2.98278, 101.79028",7,67,0,62,10,6,51,15,51,13
